request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"cc8aaf7b-3884-4ebf-847a-d31fa98a5898",GET,/,"debug=true&locale=en",,302,,,,331349060394500,331349107264400,331349113147400
"eb03633c-800f-4df2-94e1-ac522beb82a0",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,331349136682400,331349138656000,331355048791900
"56d02de1-f321-4fe4-99a3-820f46c45046",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,331355208586500,331355220263200,331355221846600
"7d0b3a9a-5b7a-4058-9d37-029fe4ab65f3",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,331355234869600,331355238511500,331355240075200
"d0c39fb9-36f5-45e6-86dc-10c158ef48a1",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,331355249509700,331355252735900,331355253772500
"6a722fea-9a5b-4653-9766-b018fe8eb687",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,331355262248200,331355265631800,331355266745100
"07ccaa62-7b79-4ded-846e-8918f3c67fd6",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,331355273678100,331355277421500,331355278475500
"90ed07cc-f814-407a-a344-ea51440ee3d4",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,331355285765800,331355288771200,331355289847500
"016b31e0-4dc4-446f-bcb7-3fa66f6dfc98",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,331355296532000,331355299707100,331355300795600
"8c8152ef-1c8a-4204-9435-6e5c9baf3498",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,331355309849900,331355312834600,331355313760500
"202bc9a3-1da1-4072-86d5-c38156c42af2",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,331355319936400,331355323105200,331355324117500
"e5b2e3ae-781f-410e-8835-19bcc74e032d",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,331355334262100,331355337395900,331355338670500
"076594f7-8ba4-408c-8344-e70caae13cad",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,331355348390900,331355351194000,331355351955300
"55d05912-fd1c-42f3-a637-ef4648d1679c",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,331355357909000,331355360636300,331355361509000
"b1f82a41-6eae-4eed-970c-2c01d7b74a6e",GET,/images/banner.png,,,200,image/png,,,331355367566100,331355370434800,331355371370300
"d06bc4ca-3d97-4400-b869-466c75a2b94b",GET,/images/logo.png,,,200,image/png,,,331355398680900,331355401635600,331355402552000
"437d05f4-e3e7-4f62-9e19-9a9e1e50e43f",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,331355416346100,331355419109500,331355419846200
"33229ad5-10c1-49f7-931d-88090c0e0bff",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,331355434324900,331355437077500,331355437780700
"21df200f-5699-4b43-a71b-181cab63ec10",GET,/images/favicon.ico,,,200,image/x-icon,,,331355451856500,331355468289300,331355469257800
"dbbf288b-708c-49e9-8309-069eac2aac29",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"remember=false&password=&username=",,331355475159100,331355485651200,331357917930500
"45d7d929-c00e-4199-b2cd-6482fce90973",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,331357942662900,331357945293900,331357946011800
"906abcd3-1b55-47c7-a261-4859374b2841",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,331357951793600,331357954576600,331357955335800
"b2d95e61-f6be-456a-9cb4-dd1fecae427e",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,331357961755400,331357964777800,331357965477300
